source,metaedge,target
Gene::9088,GpBP,Biological_Process::GO:0043086
Gene::402117,GpCC,Cellular_Component::GO:0034702
Gene::2811,GpBP,Biological_Process::GO:0001933
Gene::9943,Gr>G,Gene::4303
Gene::2639,Gr>G,Gene::388650
Gene::51755,GcG,Gene::7574
Gene::11149,GpBP,Biological_Process::GO:0060537
Gene::7391,Gr>G,Gene::26520
Gene::2261,GpBP,Biological_Process::GO:0008543
Gene::796,GpBP,Biological_Process::GO:0042742
Gene::55802,GpBP,Biological_Process::GO:1901361
Gene::1263,Gr>G,Gene::7538
Gene::3371,GiG,Gene::3688
Gene::10234,GpBP,Biological_Process::GO:0002762
Gene::150094,GpMF,Molecular_Function::GO:0004672
Gene::4209,GiG,Gene::7316
Gene::3075,GiG,Gene::712
Gene::7264,Gr>G,Gene::7298
Gene::116931,Gr>G,Gene::4830
Gene::2035,GiG,Gene::6624
Gene::5828,GiG,Gene::54623
Gene::6871,Gr>G,Gene::26520
Gene::2624,Gr>G,Gene::4830
Gene::5176,GpCC,Cellular_Component::GO:0031012
Compound::DB01118,CcSE,Side_Effect::C2830004
Gene::8793,GiG,Gene::51547
Gene::6810,GpPW,Pathway::PC7_5307
Gene::57787,Gr>G,Gene::2131
Gene::5232,GpBP,Biological_Process::GO:0061726
Gene::84619,GpBP,Biological_Process::GO:2000272
Gene::79600,GpBP,Biological_Process::GO:0021510
Gene::23510,Gr>G,Gene::56889
Gene::23293,GpMF,Molecular_Function::GO:0016788
Compound::DB00201,CcSE,Side_Effect::C0021053
Gene::84288,Gr>G,Gene::22827
Compound::DB00704,CcSE,Side_Effect::C0027765
Gene::349136,GcG,Gene::10858
Gene::50943,Gr>G,Gene::22827
Gene::3956,GpBP,Biological_Process::GO:0002314
Gene::5058,GpCC,Cellular_Component::GO:0070161
Gene::4306,GpBP,Biological_Process::GO:0071407
Gene::2597,Gr>G,Gene::5223
Gene::9612,Gr>G,Gene::26520
Anatomy::UBERON:0002103,AeG,Gene::250
Gene::57048,Gr>G,Gene::2778
Gene::23617,Gr>G,Gene::3934
Gene::400916,GcG,Gene::6888
Gene::4147,GpMF,Molecular_Function::GO:0005201
Gene::862,GiG,Gene::125115
Gene::55627,GpBP,Biological_Process::GO:0006665
Gene::10898,Gr>G,Gene::23326
Gene::6921,GcG,Gene::7574
Gene::8678,GpBP,Biological_Process::GO:0000422
Gene::5009,GpBP,Biological_Process::GO:0006520
Gene::6430,GpBP,Biological_Process::GO:0071705
Gene::5310,GpBP,Biological_Process::GO:0072507
Gene::389421,Gr>G,Gene::6461
Gene::6591,GpBP,Biological_Process::GO:1902275
Disease::DOID:9352,DaG,Gene::3586
Gene::4088,Gr>G,Gene::4091
Gene::10188,GiG,Gene::386675
Gene::1909,GpBP,Biological_Process::GO:1904062
Gene::5864,GpCC,Cellular_Component::GO:0098793
Gene::1856,GpBP,Biological_Process::GO:0016055
Gene::6732,GiG,Gene::6733
Compound::DB00501,CbG,Gene::213
Disease::DOID:1909,DpS,Symptom::D004487
Gene::4092,GiG,Gene::4091
Gene::4602,Gr>G,Gene::29082
Gene::1601,GpMF,Molecular_Function::GO:0060090
Gene::27198,Gr>G,Gene::7103
Gene::8692,Gr>G,Gene::26520
Compound::DB00248,CcSE,Side_Effect::C2830004
Gene::6622,Gr>G,Gene::22827
Compound::DB00970,CdG,Gene::23609
Gene::2920,GpBP,Biological_Process::GO:0006935
Gene::476,Gr>G,Gene::481
Gene::26298,Gr>G,Gene::26520
Gene::2049,GpBP,Biological_Process::GO:0031175
Disease::DOID:8778,DdG,Gene::925
Gene::343172,GpMF,Molecular_Function::GO:0004930
Gene::1649,Gr>G,Gene::1978
Gene::2294,GpBP,Biological_Process::GO:0072359
Compound::DB00655,CbG,Gene::5241
Compound::DB08998,CrC,Compound::DB00857
Gene::64319,Gr>G,Gene::5018
Disease::DOID:9352,DpS,Symptom::D020181
Compound::DB05812,CcSE,Side_Effect::C0027765
Compound::DB00998,CcSE,Side_Effect::C0015230
Compound::DB01069,CrC,Compound::DB00623
Gene::22794,GpBP,Biological_Process::GO:0016071
Gene::25793,Gr>G,Gene::10007
Gene::5874,GpCC,Cellular_Component::GO:0030141
Gene::7514,GpCC,Cellular_Component::GO:0005643
Gene::54555,Gr>G,Gene::51021
Compound::DB08971,CrC,Compound::DB00180
Gene::675,GpBP,Biological_Process::GO:0032504
Gene::10573,GpCC,Cellular_Component::GO:0030529
Gene::29947,Gr>G,Gene::8365
Gene::6832,Gr>G,Gene::23089
Gene::2301,GpBP,Biological_Process::GO:0043069
Gene::5054,GpBP,Biological_Process::GO:0010466
Gene::8379,GiG,Gene::11065
Gene::1557,GpBP,Biological_Process::GO:0006690
Gene::7277,GiG,Gene::7316
Gene::3717,GpBP,Biological_Process::GO:0097696
Gene::55577,GpBP,Biological_Process::GO:0006040
Gene::5788,GpBP,Biological_Process::GO:0002520
Gene::5862,GcG,Gene::7572
Compound::DB00436,CcSE,Side_Effect::C0221185
Gene::8754,GpBP,Biological_Process::GO:0030198
Gene::9801,GiG,Gene::3396
Gene::5699,GpBP,Biological_Process::GO:0071356
Gene::22827,Gr>G,Gene::6182
Gene::7373,GpBP,Biological_Process::GO:0030198
Gene::10014,GcG,Gene::79777
Gene::54472,Gr>G,Gene::26520
Gene::54925,Gr>G,Gene::10057
Gene::89780,GpBP,Biological_Process::GO:0045596
Gene::5160,Gr>G,Gene::29082
Gene::6641,GpMF,Molecular_Function::GO:0008092
Gene::9592,GiG,Gene::51547
Gene::84971,Gr>G,Gene::26520
Gene::51626,GpCC,Cellular_Component::GO:0005874
Gene::6296,GpBP,Biological_Process::GO:0006631
Gene::84033,GcG,Gene::22889
Gene::27,Gr>G,Gene::6182
Gene::1036,Gr>G,Gene::26520
Gene::54957,Gr>G,Gene::22827
Gene::5910,Gr>G,Gene::5223
Gene::3670,GpBP,Biological_Process::GO:0061564
Gene::11074,GiG,Gene::81603
Gene::440730,GpBP,Biological_Process::GO:0060284
Compound::DB00091,CuG,Gene::1314
Compound::DB04574,CcSE,Side_Effect::C0014743
Gene::2950,GpBP,Biological_Process::GO:0006749
Gene::4624,GpBP,Biological_Process::GO:0030029
Gene::10763,GcG,Gene::257106
Gene::23409,GpBP,Biological_Process::GO:1904950
Gene::55209,Gr>G,Gene::9170
Gene::1028,Gr>G,Gene::4282
Gene::81545,Gr>G,Gene::7158
Gene::1665,GpMF,Molecular_Function::GO:0004386
Gene::56130,GcG,Gene::27106
Gene::54780,GpBP,Biological_Process::GO:0006259
Gene::205564,Gr>G,Gene::7298
Gene::1020,GpBP,Biological_Process::GO:0097479
Compound::DB01248,CdG,Gene::8061
Gene::1111,GiG,Gene::7316
Gene::473,GiG,Gene::7316
Gene::144245,GpMF,Molecular_Function::GO:0016757
Gene::4976,GiG,Gene::7316
Gene::6928,GpMF,Molecular_Function::GO:0046982
Gene::7403,GpBP,Biological_Process::GO:0032259
Gene::3117,Gr>G,Gene::3122
Gene::4281,GiG,Gene::7321
Gene::2034,GiG,Gene::7316
Gene::3315,GiG,Gene::7316
Gene::57459,GpMF,Molecular_Function::GO:0043566
Gene::4734,GpBP,Biological_Process::GO:0032446
Gene::367,GiG,Gene::6256
Gene::2641,GpPW,Pathway::PC7_7768
Gene::5557,GpBP,Biological_Process::GO:0006261
Gene::100,GpBP,Biological_Process::GO:0002694
Gene::9927,GiG,Gene::51547
Gene::5119,GiG,Gene::27243
Gene::4145,GpBP,Biological_Process::GO:0018108
Gene::9462,GpBP,Biological_Process::GO:0051345
Gene::5300,GiG,Gene::386681
Compound::DB00381,CuG,Gene::1576
Gene::10327,Gr>G,Gene::2852
Gene::1958,Gr>G,Gene::55256
Gene::7182,Gr>G,Gene::1738
Gene::1499,Gr>G,Gene::1005
Disease::DOID:1909,DlA,Anatomy::UBERON:0001711
Gene::6813,GpBP,Biological_Process::GO:0002886
Gene::9140,Gr>G,Gene::5092
Gene::3209,GiG,Gene::7316
Gene::1029,GpBP,Biological_Process::GO:0010942
Disease::DOID:9970,DlA,Anatomy::UBERON:0001398
Disease::DOID:12365,DuG,Gene::3553
Gene::2296,GpBP,Biological_Process::GO:0072359
Gene::10382,GpPW,Pathway::PC7_6537
Gene::57107,GpMF,Molecular_Function::GO:0046982
Gene::6647,GpBP,Biological_Process::GO:0000303
Gene::6136,GiG,Gene::9513
Compound::DB06803,CdG,Gene::1647
Gene::5829,GiG,Gene::2534
Gene::4692,GpBP,Biological_Process::GO:0048812
Compound::DB00558,CcSE,Side_Effect::C0033774
Gene::2263,Gr>G,Gene::2261
Gene::1179,GpCC,Cellular_Component::GO:0030141
Gene::7874,Gr>G,Gene::23635
Gene::50604,Gr>G,Gene::22827
Gene::5245,GiG,Gene::7419
Gene::10488,GiG,Gene::147872
Gene::8291,GpBP,Biological_Process::GO:0048284
Gene::51195,GcG,Gene::284069
Gene::3708,GiG,Gene::4599
Gene::4092,Gr>G,Gene::22827
Gene::10018,GpBP,Biological_Process::GO:0046902
Gene::5464,GpMF,Molecular_Function::GO:0017111
Gene::10038,Gr>G,Gene::6253
Gene::9829,GpBP,Biological_Process::GO:0016311
Gene::4968,Gr>G,Gene::22827
Gene::805,GiG,Gene::9657
Compound::DB01103,CdG,Gene::51116
Gene::4905,Gr>G,Gene::6616
Gene::1907,GpBP,Biological_Process::GO:0006875
Gene::9306,GpBP,Biological_Process::GO:0043549
Gene::2033,Gr>G,Gene::54504
Gene::6814,GpBP,Biological_Process::GO:0046903
Gene::729230,GpPW,Pathway::PC7_4044
Gene::8986,GpMF,Molecular_Function::GO:0016772
Compound::DB00568,CbG,Gene::1544
Gene::494551,GpBP,Biological_Process::GO:0006469
Gene::5606,GiG,Gene::6885
Gene::3251,GpMF,Molecular_Function::GO:0016763
Gene::25800,GcG,Gene::7574
Gene::3190,GpBP,Biological_Process::GO:0000375
Gene::56654,Gr>G,Gene::10273
Gene::4094,Gr>G,Gene::2886
Gene::81894,GpBP,Biological_Process::GO:0043043
Gene::7306,GpCC,Cellular_Component::GO:0030659
Gene::10038,GpBP,Biological_Process::GO:0006281
Gene::7520,Gr>G,Gene::22827
Gene::6495,GpBP,Biological_Process::GO:0048598
Gene::2969,GiG,Gene::7316
Gene::9382,GiG,Gene::25839
Compound::DB00224,CuG,Gene::1557
Gene::2068,GiG,Gene::902
Gene::4176,GiG,Gene::4175
Compound::DB00321,CcSE,Side_Effect::C0015371
Gene::2091,GiG,Gene::8454
Gene::3162,GpBP,Biological_Process::GO:0006778
Gene::9453,GpBP,Biological_Process::GO:0016125
Gene::8632,GpMF,Molecular_Function::GO:0016462
Gene::238,GiG,Gene::7316
Gene::10921,Gr>G,Gene::25966
Gene::1398,GpBP,Biological_Process::GO:0007596
Gene::6794,GpBP,Biological_Process::GO:0044703
Gene::378,Gr>G,Gene::51021
Gene::5588,Gr>G,Gene::1066
Gene::527,Gr>G,Gene::9133
Compound::DB00494,CcSE,Side_Effect::C0009806
Disease::DOID:2994,DrD,Disease::DOID:1319
Gene::3145,GpBP,Biological_Process::GO:0042168
Gene::79850,Gr>G,Gene::79073
Gene::2065,GiG,Gene::2534
Gene::2990,Gr>G,Gene::22827
Compound::DB00371,CcSE,Side_Effect::C0018681
Gene::5494,GpBP,Biological_Process::GO:0090287
Gene::54961,GpMF,Molecular_Function::GO:0003779
Gene::712,Gr>G,Gene::51303
Gene::27242,Gr>G,Gene::55699
Gene::3597,Gr>G,Gene::5438
Gene::338440,GpBP,Biological_Process::GO:0097035
Gene::1650,GpBP,Biological_Process::GO:0018196
Gene::4200,GpMF,Molecular_Function::GO:0016491
Gene::6005,GpBP,Biological_Process::GO:0009267
Compound::DB00204,CdG,Gene::1565
Gene::4907,Gr>G,Gene::4830
Gene::894,GpMF,Molecular_Function::GO:0016538
Gene::5636,Gr>G,Gene::22827
Compound::DB00997,CuG,Gene::4668
Gene::221895,Gr>G,Gene::7018
Gene::581,GpBP,Biological_Process::GO:0007276
Disease::DOID:11476,DaG,Gene::5743
Gene::55238,GpBP,Biological_Process::GO:0071705
Disease::DOID:12236,DaG,Gene::7040
Disease::DOID:10763,DdG,Gene::1636
Gene::10266,GpBP,Biological_Process::GO:0034329
Gene::10971,GiG,Gene::7529
Pharmacologic_Class::N0000011301,PCiC,Compound::DB00367
Gene::10362,Gr>G,Gene::10273
Compound::DB00398,CbG,Gene::1576
Gene::10563,GpBP,Biological_Process::GO:0051707
Compound::DB01181,CbG,Gene::1576
Gene::7428,Gr>G,Gene::5018
Gene::23187,GcG,Gene::1131
Gene::10194,GpBP,Biological_Process::GO:0042472
Gene::27161,GcG,Gene::192669
Gene::3586,GpBP,Biological_Process::GO:0042992
Gene::2561,GiG,Gene::29979
Gene::26258,GpBP,Biological_Process::GO:0046903
Gene::55110,GiG,Gene::386682
Gene::11035,Gr>G,Gene::26520
Gene::267,GpBP,Biological_Process::GO:0044257
Gene::4214,GiG,Gene::8366
Gene::375033,GpBP,Biological_Process::GO:0006897
Gene::4759,GpBP,Biological_Process::GO:0051153
Gene::10728,GpBP,Biological_Process::GO:0006457
Gene::3572,GpBP,Biological_Process::GO:0071345
Gene::25978,GpBP,Biological_Process::GO:0007080
Compound::DB00847,CcSE,Side_Effect::C0033774
Compound::DB00749,CcSE,Side_Effect::C0012833
Gene::26278,GiG,Gene::9463
Gene::5291,Gr>G,Gene::4602
Gene::5956,GcG,Gene::5598
Gene::26119,GpMF,Molecular_Function::GO:0008289
Gene::1620,GiG,Gene::7316
Gene::340529,GcG,Gene::81855
Gene::8648,GpBP,Biological_Process::GO:0016568
Compound::DB00667,CcSE,Side_Effect::C0018681
Gene::10755,GpPW,Pathway::PC7_7721
Gene::2936,GpBP,Biological_Process::GO:0009636
Gene::1111,GpCC,Cellular_Component::GO:0005694
Compound::DB00968,CuG,Gene::153
Compound::DB00397,CcSE,Side_Effect::C0018681
Gene::3815,Gr>G,Gene::22827
Disease::DOID:3310,DlA,Anatomy::UBERON:0001037
Gene::10287,Gr>G,Gene::22827
Gene::5817,Gr>G,Gene::5819
Gene::51547,GiG,Gene::64210
Gene::6117,GpBP,Biological_Process::GO:0006312
Gene::50618,GpMF,Molecular_Function::GO:0030674
Gene::10062,Gr>G,Gene::7376
Gene::6657,GpBP,Biological_Process::GO:0007423
Gene::51451,GpBP,Biological_Process::GO:0032259
Gene::6607,GiG,Gene::25929
Gene::1586,GpBP,Biological_Process::GO:0010817
Gene::5923,GpBP,Biological_Process::GO:0043087
Gene::51079,GpPW,Pathway::WP111_r82216
Gene::6665,GpBP,Biological_Process::GO:0043416
Gene::10168,GcG,Gene::10489
Gene::57521,GpMF,Molecular_Function::GO:0019900
Gene::808,GpBP,Biological_Process::GO:0005977
Gene::2903,GpMF,Molecular_Function::GO:0004970
Gene::7251,GiG,Gene::9146
Compound::DB00724,CcSE,Side_Effect::C0041834
Gene::2012,GiG,Gene::147872
Gene::10524,GpBP,Biological_Process::GO:0018394
Gene::51024,GiG,Gene::7316
Gene::2109,Gr>G,Gene::29082
Gene::166647,Gr>G,Gene::4830
Gene::650,GpBP,Biological_Process::GO:0071773
Gene::83903,GpMF,Molecular_Function::GO:0004672
Gene::3773,GpPW,Pathway::PC7_5887
Gene::701,Gr>G,Gene::246184
Gene::2235,Gr>G,Gene::26520
Gene::57405,GpPW,Pathway::PC7_2521
Gene::117145,GpBP,Biological_Process::GO:0007006
Gene::4036,GpCC,Cellular_Component::GO:0000323
Gene::23133,GpMF,Molecular_Function::GO:0051213
Gene::5686,Gr>G,Gene::5714
Gene::6472,GiG,Gene::10537
Gene::7027,GpPW,Pathway::PC7_4116
Gene::55650,GpBP,Biological_Process::GO:0008610
Gene::7334,GpPW,Pathway::PC7_4688
Gene::4664,Gr>G,Gene::22827
Gene::6834,GpBP,Biological_Process::GO:0098662
Disease::DOID:10652,DdG,Gene::4128
Compound::DB00688,CcSE,Side_Effect::C0023218
Gene::58528,GpBP,Biological_Process::GO:0034198
Gene::6132,GiG,Gene::9768
Gene::10324,GiG,Gene::84676
Gene::1604,GpBP,Biological_Process::GO:0002449
Gene::3071,GpBP,Biological_Process::GO:0045936
Compound::DB01440,CcSE,Side_Effect::C0011603
Gene::2308,Gr>G,Gene::4303
Gene::5692,GpPW,Pathway::PC7_1563
Gene::27302,GpBP,Biological_Process::GO:0061061
Gene::5903,GpBP,Biological_Process::GO:0034097
Gene::5757,GiG,Gene::8294
Gene::2196,GcG,Gene::10615
Gene::1616,GiG,Gene::7316
Gene::55129,Gr>G,Gene::23536
Gene::5498,Gr>G,Gene::79073
Gene::30837,GpMF,Molecular_Function::GO:0004857
Gene::3249,GpBP,Biological_Process::GO:0010921
Gene::8832,GpBP,Biological_Process::GO:0098742
Gene::57158,GpBP,Biological_Process::GO:0051924
Gene::168400,GcG,Gene::59348
Gene::152831,GpPW,Pathway::PC7_7463
Gene::6335,Gr>G,Gene::26520
Gene::3397,GpBP,Biological_Process::GO:0071363
Gene::3669,GpBP,Biological_Process::GO:0090305
Gene::5684,GiG,Gene::5682
Gene::85441,GpMF,Molecular_Function::GO:0000988
Gene::53405,GpBP,Biological_Process::GO:0098656
Gene::5883,GpBP,Biological_Process::GO:0006974
Gene::5446,Gr>G,Gene::890
Gene::795,GpMF,Molecular_Function::GO:0008289
Gene::5718,GpPW,Pathway::PC7_2623
Compound::DB01624,CcSE,Side_Effect::C0011603
Gene::2280,GpMF,Molecular_Function::GO:0016853
Gene::6599,GpBP,Biological_Process::GO:0006337
Gene::81034,GpBP,Biological_Process::GO:0043603
Gene::6352,GiG,Gene::729230
Gene::162979,Gr>G,Gene::79170
Gene::6709,GiG,Gene::6708
Gene::54490,Gr>G,Gene::79143
Gene::26511,GcG,Gene::2286
Gene::64080,Gr>G,Gene::8050
Gene::55737,GpCC,Cellular_Component::GO:0030906
Gene::54361,GpBP,Biological_Process::GO:0001822
Gene::6658,Gr>G,Gene::3956
Gene::2248,GpPW,Pathway::PC7_2926
Gene::7917,GpBP,Biological_Process::GO:0048609
Gene::285973,GpBP,Biological_Process::GO:0016236
Gene::25851,GcG,Gene::100128327
Gene::9641,GiG,Gene::7428
Gene::3818,GpBP,Biological_Process::GO:0050819
Compound::DB00322,CuG,Gene::26020
Compound::DB01409,CcSE,Side_Effect::C0011991
Gene::84062,GiG,Gene::63915
Compound::DB00849,CrC,Compound::DB00252
Compound::DB01015,CdG,Gene::1559
Gene::51291,GpMF,Molecular_Function::GO:0008047
Gene::5600,GcG,Gene::5594
Compound::DB01110,CcSE,Side_Effect::C0033771
Gene::9653,Gr>G,Gene::2769
Gene::3488,Gr>G,Gene::3486
Gene::79143,Gr>G,Gene::55699
Gene::5292,GpBP,Biological_Process::GO:0000079
Gene::89792,GpMF,Molecular_Function::GO:0016782
Gene::5859,Gr>G,Gene::29082
Gene::79142,Gr>G,Gene::4282
Gene::5607,GpBP,Biological_Process::GO:0045861
Gene::5889,GpBP,Biological_Process::GO:0019953
Gene::79722,Gr>G,Gene::22827
Gene::3784,Gr>G,Gene::22827
Gene::3437,GiG,Gene::54536
Gene::92,GpBP,Biological_Process::GO:0044703
Gene::79633,GpBP,Biological_Process::GO:0098742
Gene::55300,GpPW,Pathway::PC7_5326
Gene::84502,GpBP,Biological_Process::GO:0055080
Gene::8575,GpBP,Biological_Process::GO:0043331
Compound::DB01120,CcSE,Side_Effect::C0302295
Gene::6128,GiG,Gene::8454
Gene::51295,Gr>G,Gene::7018
Gene::85409,GpBP,Biological_Process::GO:0072657
Compound::DB04842,CdG,Gene::3157
Gene::23399,GpBP,Biological_Process::GO:0016311
Gene::9416,GiG,Gene::55832
Gene::9491,GpPW,Pathway::PC7_5324
Gene::5786,GpBP,Biological_Process::GO:0000904
Gene::2261,Gr>G,Gene::2264
Gene::6950,GiG,Gene::10575
Gene::11200,Gr>G,Gene::6253
Gene::26472,Gr>G,Gene::22827
Gene::55897,GpBP,Biological_Process::GO:0007507
Gene::54663,GpBP,Biological_Process::GO:0001701
Gene::6218,GpPW,Pathway::PC7_5324
Gene::11170,GiG,Gene::386682
Gene::4088,GpBP,Biological_Process::GO:0035196
Gene::22904,GpBP,Biological_Process::GO:0098542
Gene::81930,GpMF,Molecular_Function::GO:0008092
Gene::4321,GpBP,Biological_Process::GO:0044259
Gene::10006,GpBP,Biological_Process::GO:0002244
Gene::9604,GpBP,Biological_Process::GO:0043632
Compound::DB00978,CcSE,Side_Effect::C0042963
Gene::8737,Gr>G,Gene::5901
Gene::5744,GpBP,Biological_Process::GO:0030814
Gene::10721,GpBP,Biological_Process::GO:0006259
Anatomy::UBERON:0002102,AeG,Gene::11096
Gene::121512,GpMF,Molecular_Function::GO:0005085
Gene::6935,GpMF,Molecular_Function::GO:0003712
Gene::8743,GpBP,Biological_Process::GO:0052547
Gene::7042,GpBP,Biological_Process::GO:0045936
Gene::6135,GiG,Gene::6749
Gene::2323,GpBP,Biological_Process::GO:0051153
Compound::DB01621,CbG,Gene::3269
Gene::9533,GpBP,Biological_Process::GO:0001819
Gene::5597,GpMF,Molecular_Function::GO:0004674
Compound::DB00842,CbG,Gene::2566
Gene::26525,GcG,Gene::4692
Disease::DOID:9074,DaG,Gene::3553
Gene::57326,Gr>G,Gene::388650
Gene::79701,GpMF,Molecular_Function::GO:0016491
Gene::483,GpBP,Biological_Process::GO:0010248
Gene::5830,GiG,Gene::5824
Gene::3689,GpPW,Pathway::PC7_4688
Gene::4543,GpCC,Cellular_Component::GO:0044297
Gene::8165,GpCC,Cellular_Component::GO:0031968
Gene::7454,GiG,Gene::8976
Gene::2868,GpBP,Biological_Process::GO:0008277
Gene::9334,GpCC,Cellular_Component::GO:0000139
Gene::4688,GpMF,Molecular_Function::GO:0051020
Gene::84467,GcG,Gene::83849
Gene::219484,GpBP,Biological_Process::GO:0009593
Gene::10641,Gr>G,Gene::22827
Disease::DOID:9206,DuG,Gene::7422
Gene::27244,Gr>G,Gene::10273
Compound::DB00651,CcSE,Side_Effect::C0151735
Gene::1432,GpBP,Biological_Process::GO:0010830
Gene::604,GpMF,Molecular_Function::GO:0000975
Compound::DB00681,CcSE,Side_Effect::C0042109
Gene::5603,GiG,Gene::7316
Gene::3939,GiG,Gene::10987
Gene::26137,GcG,Gene::23401
Compound::DB01583,CcSE,Side_Effect::C0233407
Gene::5230,GpBP,Biological_Process::GO:0006732
Gene::9213,GpBP,Biological_Process::GO:0044764
Gene::55120,GpMF,Molecular_Function::GO:0019787
Gene::1071,GcG,Gene::348
Gene::11340,Gr>G,Gene::23016
Gene::2554,GpMF,Molecular_Function::GO:0008509
Gene::170506,GpBP,Biological_Process::GO:0098542
Gene::2962,GpBP,Biological_Process::GO:0006366
Gene::54567,GpBP,Biological_Process::GO:1901342
Gene::9817,GpBP,Biological_Process::GO:0006511
Gene::55829,GpBP,Biological_Process::GO:0030433
Gene::27293,GpBP,Biological_Process::GO:0016042
Gene::8078,GiG,Gene::27005
Gene::7341,GpBP,Biological_Process::GO:0016567
Compound::DB00778,CuG,Gene::1577
Gene::5071,GpBP,Biological_Process::GO:0016567
Gene::575,GiG,Gene::7316
Gene::998,GpMF,Molecular_Function::GO:0016817
Compound::DB01151,CbG,Gene::1813
Gene::3326,GiG,Gene::10987
Gene::23451,Gr>G,Gene::7018
Gene::8529,GpBP,Biological_Process::GO:0042377
Gene::9869,GpBP,Biological_Process::GO:0032259
Gene::10538,Gr>G,Gene::1051
Gene::7161,GpBP,Biological_Process::GO:0071900
Gene::7317,GiG,Gene::7322
Gene::6129,Gr>G,Gene::11065
Gene::1464,GpBP,Biological_Process::GO:0006790
Gene::2255,GpPW,Pathway::PC7_4741
Gene::7291,GpBP,Biological_Process::GO:0048598
Disease::DOID:4989,DaG,Gene::4843
Gene::2691,GpBP,Biological_Process::GO:1900542
Gene::8892,Gr>G,Gene::9133
Gene::64781,GiG,Gene::7316
Gene::10955,Gr>G,Gene::22827
Gene::2735,GpBP,Biological_Process::GO:0048609
Gene::11005,GpBP,Biological_Process::GO:0030162
Gene::63875,GpBP,Biological_Process::GO:0007005
Gene::2806,GpMF,Molecular_Function::GO:0008483
Disease::DOID:1024,DpS,Symptom::D004487
Gene::139378,GcG,Gene::89890
Gene::283748,GpBP,Biological_Process::GO:0006576
Gene::400,GcG,Gene::388403
Gene::329,GiG,Gene::330
Compound::DB00375,CcSE,Side_Effect::C0033774
Gene::83590,GcG,Gene::23401
Gene::158067,Gr>G,Gene::6273
Gene::246778,Gr>G,Gene::22827
Gene::875,GpPW,Pathway::PC7_1629
Gene::382,GiG,Gene::7316
Gene::282809,GpCC,Cellular_Component::GO:0005815
Gene::156,Gr>G,Gene::801
Gene::728294,GpMF,Molecular_Function::GO:0016491
Gene::25782,GiG,Gene::22930
Gene::27091,GpBP,Biological_Process::GO:0034765
Gene::3108,GpBP,Biological_Process::GO:0006457
Gene::8973,GpMF,Molecular_Function::GO:0015464
Gene::23512,Gr>G,Gene::6304
Gene::11198,Gr>G,Gene::23635
Gene::160518,GpBP,Biological_Process::GO:0043547
Gene::4628,GpCC,Cellular_Component::GO:0015629
Gene::6632,Gr>G,Gene::6633
Gene::8795,GpBP,Biological_Process::GO:1901222
Gene::57829,GpBP,Biological_Process::GO:0009566
Gene::6777,GpBP,Biological_Process::GO:0045785
Gene::55312,Gr>G,Gene::22827
Gene::1296,GpBP,Biological_Process::GO:0030198
Gene::891,GpBP,Biological_Process::GO:0048609
Gene::6477,GpBP,Biological_Process::GO:0019953
Gene::9840,GcG,Gene::400950
Gene::11013,GpBP,Biological_Process::GO:0030036
Gene::10512,GpBP,Biological_Process::GO:0045596
Gene::9533,GiG,Gene::10643
Disease::DOID:2531,DuG,Gene::7157
Gene::1056,GpBP,Biological_Process::GO:0007586
Gene::8658,GcG,Gene::56949
Gene::3064,GiG,Gene::9737
Gene::7189,Gr>G,Gene::4615
Compound::DB01254,CdG,Gene::54541
Gene::26986,Gr>G,Gene::23019
Gene::4107,GiG,Gene::7316
Gene::949,GpBP,Biological_Process::GO:0051701
Gene::3458,Gr>G,Gene::8638
Gene::10525,GpBP,Biological_Process::GO:0060548
Gene::2946,GpBP,Biological_Process::GO:0070458
Gene::1173,GiG,Gene::160
Disease::DOID:5419,DdG,Gene::1312
Gene::6597,GiG,Gene::8363
Gene::10207,GiG,Gene::7082
Gene::4833,Gr>G,Gene::4282
Gene::7283,GiG,Gene::5116
Gene::5470,GpBP,Biological_Process::GO:0035335
Compound::DB00564,CcSE,Side_Effect::C0013395
Gene::26251,GpBP,Biological_Process::GO:0034765
Gene::940,GpBP,Biological_Process::GO:0045785
Gene::4248,GpBP,Biological_Process::GO:0070085
Compound::DB00740,CbG,Gene::1576
Gene::54583,GpBP,Biological_Process::GO:0036293
Gene::29887,GpBP,Biological_Process::GO:0030097
Gene::114898,GpBP,Biological_Process::GO:0045913
Gene::5580,Gr>G,Gene::22827
Gene::22949,GpPW,Pathway::WP167_r82702
Gene::23607,GpCC,Cellular_Component::GO:0099513
Gene::4853,Gr>G,Gene::4851
Gene::6196,Gr>G,Gene::57194
Compound::DB00758,CuG,Gene::1557
Gene::23318,GpBP,Biological_Process::GO:0031050
Gene::866,Gr>G,Gene::2131
Gene::11213,GpPW,Pathway::PC7_4741
Gene::1613,Gr>G,Gene::1465
Gene::5073,GiG,Gene::9768
Gene::1020,Gr>G,Gene::8851
Gene::51652,GpBP,Biological_Process::GO:0043900
Disease::DOID:1115,DlA,Anatomy::UBERON:0001103
Gene::9643,Gr>G,Gene::10933
Gene::9603,GpMF,Molecular_Function::GO:0003690
Gene::6929,GiG,Gene::64100
Gene::80705,GiG,Gene::115106
Gene::10614,Gr>G,Gene::1066
Gene::9021,GpPW,Pathway::PC7_4688
Gene::157869,GcG,Gene::283948
Gene::1080,GiG,Gene::8452
Gene::8027,GpBP,Biological_Process::GO:1901184
